




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Tribolium castaneum)
Reference List:	Tribolium castaneum (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Tribolium castaneum - REFLIST (16579)	upload_1 (1076)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	27	10	1.75	+	5.71	5.20E-05	5.53E-03
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	27	10	1.75	+	5.71	5.20E-05	5.41E-03
cell-cell adhesion (GO:0098609)	60	17	3.89	+	4.37	2.94E-06	4.06E-04
neuron projection guidance (GO:0097485)	49	12	3.18	+	3.77	2.67E-04	2.39E-02
axon guidance (GO:0007411)	49	12	3.18	+	3.77	2.67E-04	2.35E-02
cell adhesion (GO:0007155)	115	28	7.46	+	3.75	3.33E-08	1.42E-05
biological adhesion (GO:0022610)	115	28	7.46	+	3.75	3.33E-08	1.31E-05
taxis (GO:0042330)	50	12	3.25	+	3.70	3.13E-04	2.58E-02
chemotaxis (GO:0006935)	50	12	3.25	+	3.70	3.13E-04	2.54E-02
chemical synaptic transmission (GO:0007268)	92	21	5.97	+	3.52	4.07E-06	5.33E-04
anterograde trans-synaptic signaling (GO:0098916)	92	21	5.97	+	3.52	4.07E-06	5.19E-04
axon development (GO:0061564)	57	13	3.70	+	3.51	2.74E-04	2.37E-02
axonogenesis (GO:0007409)	57	13	3.70	+	3.51	2.74E-04	2.33E-02
trans-synaptic signaling (GO:0099537)	97	22	6.30	+	3.49	2.65E-06	3.86E-04
cell morphogenesis involved in differentiation (GO:0000904)	63	14	4.09	+	3.42	2.04E-04	1.86E-02
cell morphogenesis involved in neuron differentiation (GO:0048667)	59	13	3.83	+	3.39	3.66E-04	2.78E-02
synaptic signaling (GO:0099536)	101	22	6.56	+	3.36	4.66E-06	5.80E-04
cell morphogenesis (GO:0000902)	74	15	4.80	+	3.12	2.93E-04	2.45E-02
cell-cell signaling (GO:0007267)	135	27	8.76	+	3.08	1.69E-06	2.61E-04
cellular component morphogenesis (GO:0032989)	70	14	4.54	+	3.08	5.18E-04	3.89E-02
neuron differentiation (GO:0030182)	118	23	7.66	+	3.00	1.40E-05	1.62E-03
neurogenesis (GO:0022008)	140	26	9.09	+	2.86	8.42E-06	9.99E-04
